Total_27,ASIST,Blue_Red,Gray,Inv_Gray,AJS,AZE,GE_3_Colors,GE_Puh_Thalium,GE_Rainbow,GE_Inv_Rainbow,Hitachi_Block,Hitachi_Pallete,LAS,Philips_CBF,Philips_CBV,Philips_MTT,Philips_TTP,Siemens_CT,Siemens_MR,Terarecon,Toshiba_CT_Rainbow,Toshiba_CT_Rainbow_Red,Toshiba_MRI,ZIO_NIH,ZIO_TR,ZIO_TRW,Tmax,End
0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,1,254,0,0,0,0,0,255,0,0,0,8,8,8,8,0,0,0,123,0,8,2,0,0,0,0
2,8,0,2,253,0,0,0,0,0,255,0,0,0,8,8,8,8,33,0,0,123,0,16,8,0,0,0,0
3,12,0,3,252,8,0,0,0,0,255,0,0,0,8,8,8,8,33,0,0,123,0,24,14,0,0,0,0
4,16,0,4,251,16,0,0,0,0,255,0,0,0,8,8,8,8,66,0,0,123,0,24,20,0,0,0,0
5,20,0,5,250,16,0,0,0,0,255,0,0,0,8,8,8,8,66,0,0,123,0,33,26,1,1,0,0
6,24,0,6,249,24,0,0,0,0,255,0,0,0,8,8,8,8,66,0,0,123,0,41,32,1,1,0,0
7,28,0,7,248,33,0,0,0,0,255,0,0,0,8,8,8,8,66,0,0,132,0,49,38,1,1,0,0
8,32,0,8,247,33,0,0,0,0,255,0,0,0,8,8,8,8,66,0,0,132,0,49,44,1,1,0,0
9,36,0,9,246,41,0,0,0,0,255,0,0,0,8,8,8,8,66,0,0,132,0,57,50,1,1,0,0
10,40,0,10,245,49,0,0,0,0,255,0,0,0,8,8,8,8,74,0,0,132,0,66,56,1,1,0,0
11,44,0,11,244,49,0,0,0,0,255,0,0,0,8,8,8,8,74,0,0,132,0,74,62,1,1,0,0
12,48,0,12,243,57,0,0,0,0,255,0,0,0,8,8,8,8,74,0,0,140,0,74,68,1,1,0,0
13,52,0,13,242,66,0,0,0,0,255,0,0,0,8,8,8,8,74,0,0,132,0,82,74,1,1,0,0
